Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.27,  4.51,290.63,  284.27, -3.54, -0.62
 1377.55,  5.10,289.88,  284.70, -3.97, -0.29
 1387.16,  5.33,291.11,  285.04, -4.21, -0.04
 1398.26,  5.43,294.19,  285.14, -4.27, -0.06
 1411.05,  5.59,298.40,  285.17, -4.28, -0.16
 1425.74,  5.74,300.83,  285.16, -4.27, -0.31
 1442.57,  5.89,301.89,  285.14, -4.27, -0.48
 1461.79,  5.98,301.77,  285.14, -4.31, -0.67
 1483.69,  6.04,300.69,  285.14, -4.34, -0.89
 1508.57,  6.09,298.57,  285.15, -4.28, -1.13
 1536.76,  6.07,295.60,  285.24, -4.22, -1.31
 1568.62,  6.00,291.73,  285.41, -4.38, -1.47
 1604.53,  5.86,286.23,  285.61, -4.69, -1.62
 1644.89,  5.75,277.22,  285.87, -5.15, -1.77
 1690.16,  5.99,266.57,  286.18, -5.72, -1.92
 1740.78,  6.72,256.14,  286.55, -6.41, -2.06
 1797.25,  7.92,248.20,  287.01, -7.25, -2.17
 1860.09,  9.36,243.53,  287.59, -8.28, -2.24
 1929.87, 10.77,241.86,  288.25, -9.53, -2.30
 2007.17, 11.93,242.81,  288.97,-10.96, -2.38
 2092.58, 12.75,246.17,  289.72,-12.50, -2.50
 2186.75, 13.33,251.79,  290.50,-14.21, -2.70
 2290.32, 13.95,259.24,  291.29,-16.28, -2.98
 2404.00, 14.82,267.56,  292.11,-18.50, -3.33
 2528.52, 15.97,275.09,  292.92,-20.19, -3.79
 2664.66, 17.41,280.43,  293.74,-21.13, -4.38
 2813.30, 19.20,283.54,  294.62,-21.66, -5.02
 2975.37, 21.50,284.82,  295.59,-22.10, -5.72
 3151.96, 24.37,284.80,  296.69,-22.58, -6.45
 3344.26, 27.69,283.99,  297.92,-23.22, -7.23
 3553.66, 31.15,283.00,  299.28,-24.14, -8.06
 3781.74, 34.37,282.25,  300.78,-25.48, -8.96
 4030.32, 37.09,281.73,  302.33,-27.26,-10.04
 4301.46, 39.17,281.28,  303.85,-29.31,-11.36
 4597.58, 40.60,280.91,  305.28,-31.29,-13.03
 4921.55, 41.57,280.60,  306.57,-32.85,-15.09
 5276.83, 42.50,280.19,  307.75,-33.88,-17.58
 5667.73, 43.97,279.42,  308.83,-34.49,-20.51
 6099.56, 46.49,278.25,  309.80,-34.81,-23.93
 6579.08, 50.24,277.06,  310.67,-35.40,-27.92
 7114.89, 55.30,276.26,  311.47,-37.70,-32.52
 7718.19, 62.30,276.31,  312.12,-43.00,-37.91
 8404.14, 71.28,277.07,  312.80,-49.95,-44.09
 9196.52, 81.13,277.27,  315.28,-56.74,-50.03
10135.98, 90.00,277.09,  321.69,-63.25,-54.73
11290.59, 93.62,276.93,  333.49,-70.81,-58.12
12757.84, 85.16,276.83,  354.01,-80.25,-59.49
14743.25, 62.06,274.62,  391.92,-80.45,-56.55
17838.70, 34.96,264.33,  459.97,-80.45,-49.89
25023.73, 12.68,255.35,  555.55,-80.45,-62.66
