Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.37,  5.25,162.14,  291.52, -9.02,  6.52
 1377.88,  7.95,162.79,  292.47, -9.33,  7.36
 1387.76, 10.54,163.38,  293.18, -9.58,  7.93
 1399.20, 11.95,162.84,  293.95, -9.90,  8.56
 1412.42, 12.78,161.22,  295.00,-10.39,  9.44
 1427.65, 13.20,158.68,  295.96,-10.85, 10.22
 1445.15, 13.31,155.85,  296.66,-11.18, 10.70
 1465.18, 13.21,153.06,  297.13,-11.43, 10.96
 1488.03, 12.90,150.32,  297.47,-11.63, 11.06
 1514.01, 12.44,147.41,  297.73,-11.79, 11.07
 1543.46, 11.90,144.08,  297.94,-11.93, 10.97
 1576.76, 11.33,140.33,  298.09,-12.05, 10.79
 1614.28, 10.77,136.54,  298.20,-12.19, 10.53
 1656.46, 10.23,133.33,  298.30,-12.35, 10.22
 1703.73,  9.73,131.32,  298.40,-12.52,  9.85
 1756.57,  9.28,131.07,  298.52,-12.67,  9.45
 1815.47,  8.91,133.17,  298.65,-12.78,  9.00
 1880.98,  8.63,138.33,  298.85,-12.82,  8.55
 1953.65,  8.38,145.58,  299.18,-12.80,  8.14
 2034.10,  7.99,153.47,  299.57,-12.68,  7.73
 2122.96,  7.44,161.81,  299.98,-12.40,  7.25
 2220.85,  6.83,171.29,  300.36,-11.94,  6.65
 2328.45,  6.33,182.62,  300.71,-11.29,  5.92
 2446.45,  6.22,195.78,  301.04,-10.52,  5.08
 2575.59,  6.87,209.46,  301.38, -9.65,  4.13
 2716.69,  8.62,221.58,  301.78, -8.79,  3.12
 2870.62, 11.45,230.82,  302.26, -8.11,  2.06
 3038.33, 14.78,237.38,  302.81, -7.82,  0.93
 3220.84, 17.80,241.76,  303.42, -8.05, -0.30
 3419.26, 20.07,244.02,  304.03, -8.95, -1.68
 3634.85, 21.68,244.17,  304.74,-10.73, -3.16
 3869.13, 22.93,242.74,  305.69,-13.65, -4.60
 4123.94, 23.92,240.40,  306.92,-17.88, -6.01
 4401.56, 24.49,237.57,  308.41,-23.52, -7.43
 4704.69, 24.58,234.43,  310.09,-30.80, -8.94
 5036.51, 24.47,231.68,  311.79,-40.14,-10.74
 5400.67, 24.83,230.74,  313.27,-50.29,-13.06
 5801.54, 26.68,232.74,  314.52,-51.48,-15.94
 6244.64, 31.02,236.38,  315.77,-44.28,-19.25
 6737.31, 37.72,239.37,  317.23,-37.44,-22.89
 7289.14, 45.35,241.42,  318.93,-33.30,-26.94
 7912.56, 52.45,244.13,  320.87,-34.38,-31.53
 8623.87, 61.68,249.01,  322.83,-40.02,-37.01
 9445.79, 75.89,253.85,  324.89,-47.72,-43.51
10413.88, 89.93,257.39,  328.38,-55.59,-50.50
11586.24, 95.36,261.22,  334.48,-63.43,-57.81
13036.30, 90.10,265.47,  343.24,-73.46,-66.33
14918.31, 76.75,265.53,  362.68,-80.45,-73.07
17803.37, 63.87,257.19,  427.20,-80.45,-66.21
24998.21, 51.37,243.45,  566.07,-80.45,-59.30
