Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.33,  7.71,264.52,  288.81,  2.49,  3.21
 1377.75,  9.99,265.85,  288.95,  2.47,  3.26
 1387.50, 11.40,267.16,  289.05,  2.45,  3.26
 1398.76, 12.40,268.58,  289.15,  2.43,  3.26
 1411.75, 13.27,270.27,  289.28,  2.38,  3.24
 1426.67, 13.95,272.47,  289.47,  2.27,  3.28
 1443.76, 14.47,275.23,  289.63,  2.15,  3.27
 1463.30, 14.81,278.00,  289.77,  2.02,  3.21
 1485.57, 15.01,279.91,  289.86,  1.91,  3.08
 1510.86, 15.16,281.14,  289.91,  1.81,  2.89
 1539.51, 15.27,281.71,  289.95,  1.71,  2.64
 1571.87, 15.38,282.51,  289.97,  1.60,  2.34
 1608.33, 15.45,282.84,  289.96,  1.50,  1.98
 1649.27, 15.55,283.31,  289.94,  1.36,  1.57
 1695.13, 16.10,283.50,  290.03,  1.03,  1.21
 1746.37, 16.45,283.18,  290.27,  0.49,  0.93
 1803.50, 17.08,282.22,  290.56, -0.12,  0.65
 1867.01, 18.44,280.15,  290.93, -0.82,  0.38
 1937.45, 19.80,277.17,  291.32, -1.60,  0.06
 2015.38, 21.21,273.29,  291.77, -2.53, -0.27
 2101.39, 22.72,268.36,  292.24, -3.43, -0.68
 2196.07, 24.45,261.79,  292.65, -4.16, -1.21
 2300.05, 26.21,254.28,  293.06, -4.78, -1.85
 2414.00, 27.93,246.53,  293.49, -5.45, -2.56
 2538.62, 29.49,239.64,  293.99, -6.30, -3.32
 2674.69, 30.62,234.31,  294.61, -7.50, -4.08
 2823.04, 31.18,230.29,  295.36, -9.14, -4.84
 2984.58, 31.24,227.17,  296.16,-11.15, -5.69
 3160.25, 31.04,225.00,  296.90,-13.41, -6.74
 3351.09, 30.83,224.18,  297.54,-15.81, -8.03
 3558.25, 30.86,224.80,  298.11,-18.31, -9.54
 3783.10, 31.22,226.44,  298.69,-21.08,-11.22
 4027.30, 31.98,228.51,  299.38,-24.33,-13.00
 4292.93, 33.35,230.65,  300.28,-28.24,-14.82
 4582.53, 35.89,233.02,  301.45,-32.84,-16.65
 4899.30, 40.31,236.07,  302.90,-38.07,-18.51
 5247.08, 46.40,239.20,  304.56,-43.57,-20.52
 5630.38, 52.51,241.29,  306.09,-48.28,-23.00
 6054.48, 58.09,242.04,  307.30,-51.42,-26.16
 6525.94, 63.18,241.46,  308.26,-53.11,-29.99
 7053.23, 66.55,240.80,  309.02,-53.60,-34.55
 7648.00, 69.44,241.13,  310.13,-54.38,-39.50
 8328.22, 76.22,242.08,  313.05,-56.71,-43.96
 9122.17, 88.44,243.30,  318.85,-60.92,-47.52
10072.29,103.04,244.44,  327.12,-66.83,-51.03
11242.44,115.40,246.36,  337.89,-74.29,-55.26
12723.48,112.01,250.07,  356.47,-80.45,-58.00
14722.88, 84.99,256.54,  394.50,-80.45,-55.16
17826.21, 47.22,265.75,  459.30,-80.45,-50.32
24990.04, 36.00,261.80,  551.92,-80.45,-64.25
