Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.26, 12.27,223.21,  285.56, -0.04,  0.37
 1377.53, 14.20,220.25,  285.67, -0.06,  0.38
 1387.11, 14.80,217.75,  285.76, -0.08,  0.36
 1398.18, 14.87,215.47,  285.94, -0.11,  0.44
 1410.94, 14.60,213.70,  286.29, -0.17,  0.65
 1425.61, 14.16,212.81,  286.69, -0.22,  0.89
 1442.44, 13.79,213.03,  287.01, -0.26,  1.03
 1461.69, 13.47,214.46,  287.27, -0.29,  1.10
 1483.62, 13.16,216.92,  287.55, -0.31,  1.14
 1508.56, 12.86,219.43,  287.80, -0.29,  1.14
 1536.83, 12.60,221.71,  288.00, -0.24,  1.05
 1568.78, 12.47,223.34,  288.17, -0.17,  0.90
 1604.79, 12.53,224.02,  288.32, -0.16,  0.70
 1645.25, 12.72,224.14,  288.48, -0.24,  0.46
 1690.61, 13.12,223.73,  288.73, -0.46,  0.26
 1741.30, 13.83,222.84,  289.04, -0.79,  0.06
 1797.82, 14.97,221.88,  289.33, -1.13, -0.22
 1860.66, 16.45,221.65,  289.63, -1.47, -0.55
 1930.34, 18.25,222.13,  289.97, -1.88, -0.91
 2007.42, 20.27,223.06,  290.37, -2.40, -1.29
 2092.47, 22.42,224.27,  290.79, -3.05, -1.72
 2186.09, 24.56,225.70,  291.25, -3.82, -2.21
 2288.90, 26.55,227.31,  291.71, -4.72, -2.78
 2401.54, 28.21,229.08,  292.19, -5.79, -3.43
 2524.70, 29.48,231.01,  292.68, -7.08, -4.18
 2659.09, 30.38,233.04,  293.21, -8.62, -5.01
 2805.52, 31.09,235.12,  293.80,-10.46, -5.90
 2964.84, 31.90,237.28,  294.47,-12.61, -6.84
 3138.05, 33.13,239.65,  295.28,-15.06, -7.81
 3326.30, 35.07,242.30,  296.25,-17.73, -8.78
 3530.92, 37.85,245.15,  297.42,-20.55, -9.74
 3753.49, 41.34,248.00,  298.79,-23.46,-10.70
 3995.85, 45.15,250.74,  300.33,-26.41,-11.72
 4260.13, 48.95,253.38,  302.00,-29.38,-12.86
 4548.89, 52.56,255.78,  303.74,-32.30,-14.19
 4865.13, 56.03,257.64,  305.46,-35.15,-15.82
 5212.39, 59.55,258.85,  307.05,-37.94,-17.88
 5594.98, 63.41,259.80,  308.49,-40.77,-20.44
 6018.30, 68.04,260.98,  309.91,-43.91,-23.43
 6489.51, 74.32,262.19,  311.57,-47.70,-26.71
 7018.21, 83.65,262.54,  313.69,-52.29,-30.23
 7617.29, 97.45,261.78,  316.38,-57.60,-34.03
 8304.15,115.66,261.00,  319.53,-63.42,-38.42
 9102.89,135.06,261.15,  323.11,-69.43,-43.67
10050.91,149.43,262.23,  328.51,-74.18,-49.22
11215.40,150.99,263.97,  340.15,-76.97,-52.90
12706.24,133.52,265.81,  365.64,-79.68,-51.50
14756.93, 96.43,265.98,  412.44,-80.45,-44.20
17960.37, 45.83,263.80,  479.87,-80.45,-39.15
25066.14, 10.34, 62.66,  553.95,-80.45,-61.23
