Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.38, 10.01, 67.95,  288.75,  3.37,  4.10
 1377.90, 13.81, 68.75,  288.79,  3.36,  4.07
 1387.77, 15.65, 69.25,  288.81,  3.35,  3.99
 1399.18, 16.85, 69.73,  288.82,  3.33,  3.87
 1412.31, 17.57, 70.15,  288.84,  3.31,  3.77
 1427.41, 18.04, 70.59,  288.86,  3.28,  3.64
 1444.70, 18.33, 71.09,  288.89,  3.24,  3.50
 1464.46, 18.49, 71.68,  288.98,  3.19,  3.39
 1486.99, 18.52, 72.43,  289.09,  3.13,  3.28
 1512.59, 18.37, 73.68,  289.18,  3.05,  3.12
 1541.61, 17.82, 76.08,  289.30,  2.95,  2.95
 1574.41, 16.90, 80.02,  289.48,  2.81,  2.81
 1611.40, 15.96, 84.55,  289.67,  2.63,  2.63
 1653.00, 14.80, 90.60,  289.93,  2.39,  2.46
 1699.67, 13.55, 98.07,  290.27,  2.04,  2.34
 1751.89, 12.20,106.68,  290.71,  1.58,  2.24
 1810.17, 10.67,116.11,  291.22,  0.98,  2.16
 1875.08,  8.96,126.72,  291.75,  0.26,  2.03
 1947.16,  7.25,138.68,  292.28, -0.57,  1.82
 2026.99,  5.73,151.38,  292.76, -1.45,  1.50
 2115.18,  4.43,164.40,  293.20, -2.30,  1.05
 2212.36,  3.34,180.63,  293.59, -3.07,  0.47
 2319.20,  2.74,205.08,  293.93, -3.77, -0.25
 2436.36,  2.98,231.26,  294.21, -4.42, -1.14
 2564.57,  3.88,246.95,  294.41, -5.03, -2.20
 2704.60,  5.09,254.12,  294.63, -5.66, -3.36
 2857.27,  6.49,256.96,  294.89, -6.41, -4.61
 3023.52,  8.13,257.44,  295.18, -7.28, -5.96
 3204.33, 10.08,256.71,  295.49, -8.34, -7.44
 3400.82, 12.36,255.55,  295.83, -9.63, -9.06
 3614.24, 14.97,254.47,  296.28,-11.25,-10.73
 3846.16, 17.81,253.34,  297.02,-13.39,-12.33
 4098.53, 20.46,251.85,  298.20,-16.34,-13.76
 4373.65, 22.25,250.05,  299.62,-20.27,-15.22
 4674.04, 23.07,248.62,  301.03,-24.97,-16.93
 5002.60, 23.40,248.81,  302.27,-30.04,-19.08
 5362.71, 23.95,251.00,  303.29,-34.53,-21.73
 5758.59, 25.49,253.63,  304.22,-38.28,-24.82
 6195.84, 29.89,254.57,  305.50,-42.66,-28.04
 6682.35, 40.13,254.21,  307.69,-48.30,-31.03
 7228.94, 57.79,254.33,  311.02,-53.16,-33.75
 7850.16, 81.98,254.70,  315.50,-54.94,-36.36
 8565.31,109.78,254.37,  320.87,-55.28,-39.31
 9399.23,136.47,253.38,  325.85,-56.07,-43.79
10384.51,157.35,252.30,  329.36,-57.95,-50.83
11570.86,167.48,251.86,  332.81,-62.27,-59.92
13030.70,162.66,252.47,  340.92,-71.62,-68.78
14927.20,145.98,253.90,  360.91,-78.24,-75.14
17755.12,140.35,250.62,  405.09,-80.45,-78.13
24513.27,149.75,247.41,  516.17,-80.45,-79.79
