Z(m),WS(knots),WD(deg),Theta(K),Td(C),T(C)
 1369.44, 17.69,152.74,  295.05,-12.86,  9.71
 1378.07, 22.95,153.99,  295.28,-13.04,  9.86
 1388.09, 26.00,155.00,  295.42,-13.16,  9.89
 1399.65, 28.32,155.99,  295.52,-13.26,  9.87
 1412.99, 30.29,157.00,  295.62,-13.37,  9.82
 1428.31, 32.07,158.06,  295.70,-13.47,  9.77
 1445.86, 33.77,159.18,  295.79,-13.59,  9.67
 1465.92, 35.36,160.33,  295.86,-13.71,  9.55
 1488.79, 36.86,161.47,  295.94,-13.86,  9.40
 1514.77, 38.25,162.56,  296.02,-14.02,  9.22
 1544.21, 39.50,163.54,  296.11,-14.22,  9.01
 1577.48, 40.63,164.44,  296.23,-14.46,  8.80
 1614.99, 41.65,165.25,  296.38,-14.76,  8.59
 1657.16, 42.65,166.13,  296.60,-15.03,  8.39
 1704.46, 43.70,167.20,  296.91,-15.14,  8.21
 1757.39, 44.69,168.51,  297.33,-14.85,  8.09
 1816.47, 45.39,170.07,  297.81,-14.01,  7.97
 1882.28, 45.57,171.94,  298.33,-12.66,  7.82
 1955.39, 45.15,174.10,  298.85,-11.04,  7.59
 2036.42, 44.24,176.51,  299.36, -9.45,  7.28
 2125.99, 42.91,179.33,  299.86, -8.13,  6.87
 2224.76, 41.27,182.79,  300.31, -7.23,  6.33
 2333.38, 39.48,187.03,  300.70, -6.75,  5.63
 2452.53, 37.84,191.77,  300.99, -6.65,  4.74
 2582.89, 36.56,196.26,  301.18, -6.84,  3.64
 2725.23, 35.66,199.84,  301.34, -7.22,  2.40
 2880.37, 34.98,202.44,  301.59, -7.73,  1.11
 3049.30, 34.31,204.60,  302.00, -8.34, -0.17
 3233.09, 33.52,206.84,  302.53, -9.03, -1.48
 3432.94, 32.67,209.23,  303.11, -9.77, -2.91
 3650.13, 31.99,211.44,  303.68,-10.55, -4.52
 3886.13, 31.82,213.11,  304.23,-11.44, -6.34
 4142.59, 32.42,214.21,  304.72,-12.58, -8.41
 4421.46, 33.83,215.02,  305.16,-14.11,-10.74
 4725.05, 35.74,216.04,  305.61,-16.12,-13.31
 5056.28, 37.64,217.62,  306.19,-18.68,-16.04
 5418.82, 39.16,219.78,  307.00,-21.99,-18.90
 5817.27, 40.33,222.07,  308.02,-26.33,-21.94
 6257.30, 41.30,224.09,  309.16,-31.79,-25.30
 6746.10, 42.08,225.97,  310.43,-38.50,-29.05
 7293.06, 42.80,228.30,  312.00,-46.60,-33.15
 7910.88, 44.04,231.23,  314.06,-56.87,-37.58
 8617.04, 47.16,234.23,  316.74,-72.51,-42.45
 9436.05, 54.07,237.00,  320.03,-80.45,-48.01
10403.62, 65.38,239.72,  323.87,-80.45,-54.70
11576.49, 77.41,242.51,  329.82,-80.45,-62.03
13038.88, 83.24,245.68,  342.78,-80.45,-67.93
14970.09, 82.16,251.58,  368.43,-80.45,-71.37
17902.39, 95.58,258.69,  420.40,-80.45,-71.26
24918.42,120.61,261.03,  528.45,-80.45,-76.13
